category,usage,topic,meaning,sentence
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,발표의 간단한 개요를 말씀드리는 것으로 바로 시작하겠습니다.,let's get the ball rolling by giving you a brief outline of the presentation
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,"자, 간단한 개요를 말씀드리는 것으로 발표를 시작할까 합니다.","Now, let's begin the presentation by giving you a brief outline."
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,"자, 회사 정책의 개요를 알려드리면서 발표를 시작해 보지요","Now, let's begin the presentation by outlining company policy"
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,프레젠테이션을 간단히 요약해 드리는 것으로 시작하죠,let me start off by giving you a brief summary of my presentation
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,프레젠테이션의 목차를 요약해 드리며 시작하겠습니다,I will begin by summarizing the contents of my presentation
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,이 수치에 관해 논의하는 것부터 시작하죠,let me start off by discussing these figures.
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,판매 수치를 살펴보면서 시작하겠습니다,I will begin by looking at some sales figures.
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,"자, 몇가지 수치를 보여드리는 것으로 발표를 시작할까 합니다","Now, let me begin the presentation by showing you some numbers."
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,이 프레젠테이션에서 다룰 사항들을 소개하면서 시작하겠습ㄴ다,I will begin by introducing some of the issues to be dealt with in this presentation.
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,프레젠테이션의 주요 사항들을 살펴보면서 시작하겠습니다,I will begin by going over the main points of my presentation.
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,저희 마케팅 계획을 전체적으로 살펴보며 시작하고 싶습니다,I'd like to open up by giving you an overview of our marketing plans.
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,더 지체하지 않고 저희의 현 판매 전략을 요약해 드리죠,"without further delay, let me summarize our current sales strategies"
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,최근 조사 결과를 설명해 드리는 것으로 바로 시작하겠습니다,let's get cracking by explainng the latest findings
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,필요한 몇 가지 배경 설명으로 들어가기 전에 프레젠테이션의 개요를 말씀드리고 싶습니다,I'd like to outline my presentation before jumping into some essential background information.
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,새 시스템의 장점을 살펴보며 시작하죠,Let's begin by looking at the advantage of the new system.
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"모든 고전 연극들이 그러하듯이, 오늘 저는 제 프레젠테이션을 3막으로 구성해 봤습니다","Like every great classic play, I've divided my presentation into three acts."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"모든 휼륭한 프레젠테이션처럼, 저도 제 발표를 세 가지 주제로 나누었습니다","Like every great presentation, I've divided my talk into three main subjects."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"대부분의 휼륭한 고전 음악회처럼, 제 프레젠테이션은 세 부분으로 되어 있습니다","Just like most great classical music concerts, there are three parts in my presentation."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,제 발표의 주제인 '3단계 정보 수명 관리'와 같이 제 프레젠테이션도 3단계로 나누어져 있습니다,"Just like the topic of my presentation, ""3-Step Information Lifecycle Mangement,"" the presentation itself is divided into three phases."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,저는 제 프레젠테이션을 세 파트로 나누엇습니다,I've divided my presentation into three parts.
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"먼저, 이론적인 정의를 내리겠습니다. 두 번째로, 저희의 설문 조사 결과와 그 의미를 점검해 보겠습니다. 세 번째로, 각각의 시나리오에 대한 실질적인 조언을 제공해 드릴 것입니다.","Firstly, I will give you theoretical definitions. Secondly, our survey results and their implications will be examined. Thirdly, I will provide some practical advice for each scenario."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"프레젠테이션은 다음 세 가지 부분으로 구성될 것입니다: 첫째로, 우리 상품에 대한 수요 창출 방법. 둘째로, 우리 상품을 보다 효율적으로 유통시키는 방법. 그리고 셋째로, 시장에서 가장 효과적으로 경쟁하는 방법.","The presentation will have the following three parts: First how to create a demand for our products. Secondly, how to distribute our products more effectively. And thirdly, how to compete more effectively in the market."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"저는 휼륭한 프레젠테이션의 다음과 같은 세 가지 요소에 대해 말씀드리겟습니다. 첫째, 콘텐츠, 둘째, 전달, 그리고 마지막으로, 청중에 맞추고 교감할 수 잇는 기술입니다","I will talk about the following three aspects of any good presentation: first, the content; second, the delivery; and last, the ability to adjust to and connect with the audience."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"제 프레젠테이션에는 세 가지 주요 사항이 있습니다. 첫째, 문화, 둘째, 전달 기술, 그리고 마지막으로 스피치 기술입니다.","There are three main things in my presentation: firstly, the culture, secondly, the delivery, and lastly, the speech tips."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"제 프레젠테이션에는 세 가지 중요 사항이 포함돼 잇습니다. 그것들은 다음과 같습니다: 브랜드 사용료, 브랜드 이미지, 그리고 가격 책정입니다.","I have three important parts in my presentation. They are as follows: brand loyalty, brand image and pricing."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,저는 오늘 이것에 대해 세 가지를 말씀드리려고 합니다.,I'm going to tell you three things about this today.
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,저는 이것을 다루는 데 있어 처음 몇 가지 단계에 관해 말씀드리려고 합니다.,I'm going to tell you about our first few step in dealing with this.
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"먼저, 저희의 시나리오에 대해 말씀드리겠습니다.",First I'll talk about our scenario.
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,프레젠테이션의 첫 번째 파트에서는 저희의 새로운 의류 제품의 샘플 사진을 보여 드리겠습니다,"In the first part of my presentation, I'll show you pictures of several samples from all of our new clothing lines."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"먼저, 저희 연구의 최근 조사 결과를 알려 드리겠습니다","To begin, I will show you the latest findings of our study. To begin, let me bring you up to date on the latest findings of the study."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"첫 번째로, 지금까지의 프로젝트 진행 상황에 관해 간략히 말씀드리겠습니다.","Firstly, I'll give you a brief history of the project to date."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"그 후, 이 문제에 관한 저희 의견을 제시해 드리겠습니다","After that, I'd like to present our views on this issue."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"그러고 난 후, 저희의 5년 계획에 대해 말씀 드리겠습니다","After this, I'll talk about our five-year plan."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,다음으로 I2개월 프로젝트 계획과 일정을 검토해 보고 싶습니다,"Next, I'd like to review the twelve-month project plan and timeline."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"그 다음으로, 저희 계획을 실천 가능하게 하는 방법에 대한 이야기로 넘어가곘습니다",Then I'll move on to discuss how to make our plans feasible.
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"그리고 마지막으로, 저희의 제안을 말씀드리며 마치겠습니다","And finally, I'll finish with our suggestions."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"마지막으로, 저희의 구조 조정 계획에 대해 말슴드리겠습니다","Finally, I'll talk about our restructuring plan."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,마지막으로 내년 매출 금액을 늘리기 위한 몇 가지 세부 전략을 제안할 것입니다,"Lastly, I'd like to propose some detailed strategies to increase next year's sales revenues."
프레젠테이션,프레젠테이션 서론,프레젠테이션 개요 설명,"마지막으로 중요한 얘기입니다만, 우리 회사의 구조 조정 계획에 대해서 다루겠습니다","And last but not least, I'll cover our corporate restructuring plan."
프레젠테이션,프레젠테이션 서론,프레젠테이션 소요 시간 알리기,이 프레젠테이션은 약 30분 정도 걸릴 것입니다.,This presentation will take about 30 minutes.
프레젠테이션,프레젠테이션 서론,프레젠테이션 소요 시간 알리기,이 프레젠테이션은 약 30분 정도 걸릴 것입니다.,My presentation will take only 30 minutes of your time.
프레젠테이션,프레젠테이션 서론,프레젠테이션 소요 시간 알리기,이 프레젠테이션은 약 30분 정도 걸릴 것입니다.,This presentation will last about 30 minutes.
프레젠테이션,프레젠테이션 서론,프레젠테이션 소요 시간 알리기,이 프레젠테이션은 약 30분 정도 걸릴 것입니다.,It will take about 30 minutes of your time.
프레젠테이션,프레젠테이션 서론,프레젠테이션 소요 시간 알리기,I0분이면 끝납니다,I shall only take I0 minutes of your time.
프레젠테이션,프레젠테이션 서론,프레젠테이션 소요 시간 알리기,I0분이면 끝납니다,I will speak for about I0 minutes.
프레젠테이션,프레젠테이션 서론,프레젠테이션 소요 시간 알리기,"제 발표는 한 시간 정도 걸릴 예정이나, 중간에 I0분간 휴식이 잇을 것입니다.","This presentation will take about one hour, but there will be a ten-minute break in the middle."
프레젠테이션,프레젠테이션 서론,프레젠테이션 소요 시간 알리기,간단히 설명할 예정입니다,I plan to be brief.
프레젠테이션,프레젠테이션 서론,프레젠테이션 소요 시간 알리기,한 시간 정도 발표할 예정입니다,My intention is to present for about an hour.
프레젠테이션,프레젠테이션 서론,프레젠테이션 소요 시간 알리기,이 발표에는 약 I5분 정도가 할당되었습니다,I've been allotted I5 minutes for this presentation.
프레젠테이션,프레젠테이션 서론,질의응답,질문이 있으시면 언제라도 말씀해 주세요,"Please feel free to interrupt me, if you have any questions."
프레젠테이션,프레젠테이션 서론,질의응답,질문이 있으시면 언제라도 말씀해 주세요,"Please don't hesitate to stop me, if you have a question."
프레젠테이션,프레젠테이션 서론,질의응답,질문이 있으시면 언제라도 말씀해 주세요,Please feel free to ask questions as we go along.
프레젠테이션,프레젠테이션 서론,질의응답,질문은 프레젠테이션 후에 받겟습니다,I will take questions after the presentation.
프레젠테이션,프레젠테이션 서론,질의응답,프레젠테이션 후에 질의응답 시간이 있겠습니다,"After my presentation, there will be a question and answer period."
프레젠테이션,프레젠테이션 서론,질의응답,제 프레젠테이션이 끝난 후에 I0분 동안 질문 받는 시간이 있겠습니다,"After my presentation, there will be time for questions, which will last I0 minutes."
프레젠테이션,프레젠테이션 서론,질의응답,제 프레젠테이션 마지막에 어던 질문이든 기꺼이 답해 드리겠습니다,I'd be glad to answer any questions at the end of my presentation.
